03.09.2017 08:09:59: DCF time = 08:10:00, PREV-NEW = -1, DURATION = 18599
04.09.2017 09:07:58: DCF time = 09:08:00, PREV-NEW = -2, DURATION = 22078
05.09.2017 11:09:59: DCF time = 11:10:00, PREV-NEW = -1, DURATION = 29399
06.09.2017 12:00:59: DCF time = 12:01:00, PREV-NEW = -1, DURATION = 32459
07.09.2017 03:01:59: DCF time = 03:02:00, PREV-NEW = -1, DURATION = 119
08.09.2017 03:01:58: DCF time = 03:02:00, PREV-NEW = -2, DURATION = 118
09.09.2017 03:01:58: DCF time = 03:02:00, PREV-NEW = -2, DURATION = 118
10.09.2017 06:03:58: DCF time = 06:04:00, PREV-NEW = -2, DURATION = 11038
11.09.2017 04:49:57: DCF time = 04:50:00, PREV-NEW = -3, DURATION = 6598
12.09.2017 05:08:58: DCF time = 05:09:00, PREV-NEW = -2, DURATION = 7738
13.09.2017 03:31:58: DCF time = 03:32:00, PREV-NEW = -2, DURATION = 1918
14.09.2017 03:01:58: DCF time = 03:02:00, PREV-NEW = -2, DURATION = 118
15.09.2017 03:02:58: DCF time = 03:03:00, PREV-NEW = -2, DURATION = 178
16.09.2017 03:01:58: DCF time = 03:02:00, PREV-NEW = -2, DURATION = 118
17.09.2017 04:07:58: DCF time = 04:08:00, PREV-NEW = -2, DURATION = 4078
18.09.2017 03:02:58: DCF time = 03:03:00, PREV-NEW = -2, DURATION = 178
19.09.2017 03:01:58: DCF time = 03:02:00, PREV-NEW = -2, DURATION = 118
20.09.2017 03:06:58: DCF time = 03:07:00, PREV-NEW = -2, DURATION = 418
21.09.2017 03:02:58: DCF time = 03:03:00, PREV-NEW = -2, DURATION = 178
22.09.2017 06:03:58: DCF time = 06:04:00, PREV-NEW = -2, DURATION = 11038
23.09.2017 04:02:58: DCF time = 04:03:00, PREV-NEW = -2, DURATION = 3778
24.09.2017 03:03:58: DCF time = 03:04:00, PREV-NEW = -2, DURATION = 238
25.09.2017 07:14:58: DCF time = 07:15:00, PREV-NEW = -2, DURATION = 15298
26.09.2017 05:06:58: DCF time = 05:07:00, PREV-NEW = -2, DURATION = 7618
27.09.2017 04:08:58: DCF time = 04:09:00, PREV-NEW = -2, DURATION = 4138
28.09.2017 03:13:58: DCF time = 03:14:00, PREV-NEW = -2, DURATION = 838
29.09.2017 03:02:58: DCF time = 03:03:00, PREV-NEW = -2, DURATION = 178
30.09.2017 03:05:58: DCF time = 03:06:00, PREV-NEW = -2, DURATION = 358
01.01.1970 00:05:08: DCF time = 20:51:00, PREV-NEW = -1506890752, DURATION = 308
02.10.2017 04:15:59: DCF time = 04:16:00, PREV-NEW = -1, DURATION = 4559
03.10.2017 03:01:59: DCF time = 03:02:00, PREV-NEW = -1, DURATION = 119
04.10.2017 03:01:59: DCF time = 03:02:00, PREV-NEW = -1, DURATION = 119
05.10.2017 03:02:59: DCF time = 03:03:00, PREV-NEW = -1, DURATION = 179
06.10.2017 04:02:58: DCF time = 04:03:00, PREV-NEW = -2, DURATION = 3779
07.10.2017 03:01:59: DCF time = 03:02:00, PREV-NEW = -1, DURATION = 119
08.10.2017 04:07:59: DCF time = 04:08:00, PREV-NEW = -1, DURATION = 4079
09.10.2017 03:11:59: DCF time = 03:12:00, PREV-NEW = -1, DURATION = 719
10.10.2017 03:01:58: DCF time = 03:02:00, PREV-NEW = -2, DURATION = 119
11.10.2017 03:14:58: DCF time = 03:15:00, PREV-NEW = -2, DURATION = 899
12.10.2017 03:01:59: DCF time = 03:02:00, PREV-NEW = -1, DURATION = 119
13.10.2017 04:16:59: DCF time = 04:17:00, PREV-NEW = -1, DURATION = 4619
01.01.1970 00:01:32: DCF time = 18:51:00, PREV-NEW = -1508093368, DURATION = 92
16.10.2017 03:00:59: DCF time = 03:01:00, PREV-NEW = -1, DURATION = 59
17.10.2017 03:01:58: DCF time = 03:02:00, PREV-NEW = -2, DURATION = 118
18.10.2017 03:15:58: DCF time = 03:16:00, PREV-NEW = -2, DURATION = 958
19.10.2017 03:02:58: DCF time = 03:03:00, PREV-NEW = -2, DURATION = 178
20.10.2017 03:02:58: DCF time = 03:03:00, PREV-NEW = -2, DURATION = 178
21.10.2017 03:02:58: DCF time = 03:03:00, PREV-NEW = -2, DURATION = 179
22.10.2017 03:01:58: DCF time = 03:02:00, PREV-NEW = -2, DURATION = 119
23.10.2017 06:08:58: DCF time = 06:09:00, PREV-NEW = -2, DURATION = 11338
24.10.2017 03:51:58: DCF time = 03:52:00, PREV-NEW = -2, DURATION = 3118
25.10.2017 03:01:59: DCF time = 03:02:00, PREV-NEW = -1, DURATION = 119
26.10.2017 04:41:58: DCF time = 04:42:00, PREV-NEW = -631238402, DURATION = 6118
27.10.2017 03:17:54: DCF time = 03:18:00, PREV-NEW = -6, DURATION = 1075
28.10.2017 03:01:58: DCF time = 03:02:00, PREV-NEW = -2, DURATION = 119
29.10.2017 03:07:59: DCF time = 02:08:00, PREV-NEW = 3599, DURATION = 479
29.10.2017 03:35:59: DCF time = 03:36:00, PREV-NEW = -1, DURATION = 2159
01.01.1970 00:01:52: DCF time = 19:35:00, PREV-NEW = -1509391988, DURATION = 112
31.10.2017 04:51:58: DCF time = 04:52:00, PREV-NEW = -2, DURATION = 6719
01.11.2017 12:29:57: DCF time = 12:30:00, PREV-NEW = -3, DURATION = 34198
04.11.2017 12:01:56: DCF time = 12:02:00, PREV-NEW = -4, DURATION = 205316
05.11.2017 16:01:58: DCF time = 16:02:00, PREV-NEW = -2, DURATION = 46918
06.11.2017 17:05:58: DCF time = 17:06:00, PREV-NEW = -2, DURATION = 50758
07.11.2017 09:06:59: DCF time = 09:07:00, PREV-NEW = -1, DURATION = 22019
08.11.2017 10:03:58: DCF time = 10:04:00, PREV-NEW = -2, DURATION = 25438
09.11.2017 06:01:59: DCF time = 06:02:00, PREV-NEW = -1, DURATION = 10919
10.11.2017 11:09:58: DCF time = 11:10:00, PREV-NEW = -2, DURATION = 29398
